,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
500440,Marriott-International,2021-03-08, Sales Executive,"Former Employee, more than 5 years",,5,4.0,5.0,5.0,4.0,4.0,5.0,v,v,o,Great company,"Great benefits, opportunities to advance or change departments (pre- covid).","None really, post covid they had to let go of a lot of people"
326325,Hays,2020-01-15, Corporate Relations Manager,"Current Employee, less than 1 year","Brighton, England, England",3,2.0,3.0,,3.0,2.0,3.0,o,o,o,"long hours, low salary","Good training and development, established name","treated like a child and terrible base salary, long hours"
460926,KPMG,2019-11-26, Senior Finance Associate,"Current Employee, more than 1 year","London, England, England",3,2.0,1.0,,4.0,4.0,1.0,x,o,r,"Formerly people focused, now losing its touch","Good benefits
Good opportunities to move around","Obsession with hierarchy
Lack of personality"
510549,McDonald-s,2015-08-28, ,Current Employee,,3,3.0,3.0,,2.0,3.0,3.0,v,r,r,Customer's,If you love McDonald's it's an interesting position. Networking gets you provides you an interview pretty quick.,"A lot of rude customers.
Translation . Sometimes customers are not able to fully describe what they want."
7858,Accenture,2016-03-09, Anonymous Employee,"Current Employee, more than 8 years","London, England, England",4,2.0,4.0,,3.0,4.0,2.0,v,o,r,Senior Manager,"Strong culture and people are great, many training opportunities",Poor performance management and thus career progression can be hampered
823408,Waitrose,2018-09-16, Anonymous Employee,Former Employee,,5,4.0,5.0,,4.0,4.0,3.0,v,v,v,Great company,Actually care about you and what you need as an employee. Benefits and bonuses are great.,Difficult to find cover staff. Otherwise no complaints
340086,Hyatt,2019-08-02, Director of Engineering,"Current Employee, more than 8 years",,5,4.0,5.0,,5.0,4.0,4.0,v,v,v,Look here to work with a company that values you,A culture of caring for each an every associate. From the top-down. Successful in creating lasting relationships with associates. Because of that people stay and put many years of dedicated service. Benefits are above average in the industry. Perks are discounted and free room nights. Discounts on Food when staying at other Hyatts. A strong focus on having a good work-life balance. Committed management.,"Like all Hospitality careers, can be fast paced. Doing more with less. Always busy and never a dull moment."
633008,Oracle,2018-04-12, RVP Sales,"Former Employee, more than 3 years","San Francisco, CA",3,2.0,3.0,,3.0,3.0,3.0,x,r,r,Orac le overall,"Treated MGT well, along with training for new sales reps",Not so with Sales people
610929,Network-Rail,2021-02-18, Design Engineer,"Current Employee, more than 5 years","Manchester, England, England",1,3.0,1.0,1.0,1.0,4.0,1.0,x,x,x,30 years of work - this was the worst,"The final salary pension is great, but you have to wait 5 years to join. If you last that long.","Constant ""reorganisations"" which are a thinly veiled excuse to dispose of people that managers don't like. Try googling 'Project Violet' if you want an idea of this company's approach to HR."
148057,Citi,2018-11-05, Personal Banker,"Former Employee, more than 8 years",,2,2.0,3.0,,2.0,3.0,1.0,x,r,r,Not the worst but far from the best,"-Good reputation
-Benefits: Medical; Paternity leave,  HSA, Dental, Vision, 401K
-Closed during major Nationally recognized holidays
-Matched 401K contributions
-No cap on commission
-Shorter business hours compared to competitors (Corporate's attempt to cut overhead costs)
-A few good and honest people","-Tough commission structure on PB and teller levels
-If customers did not engage in at least 5 banking activities within 60-90 days after opening an account, branch employee(s) compensation and time was lost
-Internal software obsolete/banking systems: technology team/software engineers consistently make errors, lack focus and slow to update systems
-Each financial center competes with each other (lacked teamwork and cohesive company direction)
-Moderately high pressure to meet monthly, quarterly and annual sales goals
-Goals are increased year-over-year
-Upper management pretends to be empathetic to difficult working conditions (ie: conducted ""Voice of the Employee"" meetings and surveys of employees' view of the company's leadership, culture, work environment, struggles and opportunities. Never saw significant changes with nearly a decade of employment. 
-Cheap: tight budget restrictions on branch supplies particularly on cash counting machines. Refused to provide customer accessible kiosks, computers, internet access to online banking to improve customer service, security, privacy and convenience.
-Discontinued employee appreciation corporate events
-Public image does not reflect inner culture
-Rarely promotes internally
-Offers higher wages to employees defecting from competing banks
-Does not appreciate loyal employees (ie: pays higher wages to new hires, often  with less experience compared to loyal, competent, existing Citi employees of the same position)
-Management ignores/do not discipline employees engaging in bad practices if their sales numbers are high."
24940,Aon,2016-06-25, Assistant Vice President,"Current Employee, more than 8 years",Greater Noida,5,5.0,5.0,,5.0,4.0,4.0,v,v,v,AVP,"- Excellent environment
- Fair and Employee friendly
- Work life balance
- Stable business",- No cons as such. Pretty stable environment and mature organization. Not into petty things and overall great place to work
476675,Legal-and-General,2020-02-13, Team Manager,"Current Employee, more than 10 years","Cardiff, Wales, Wales",3,2.0,3.0,,1.0,3.0,2.0,v,v,x,Good Company but not for long term growth,"The people are excellent.
Flexible to an extent.",Slow to change and act. Old fashioned in their ways and systems.
498782,Marriott-International,2020-09-21, Account Executive,"Current Employee, more than 3 years","Washington, DC",4,4.0,4.0,,4.0,2.0,4.0,o,o,o,Account Executive review,"Flexibility to work remote, work life balance","Low salary, too traditional, etc"
612920,Novotel-Hotels,2017-09-17, ,Former Employee,,4,3.0,5.0,,4.0,4.0,3.0,v,o,o,Good place to work,The team is absolutely amazing,The salary is quite low
258741,EY,2020-10-12, Manager,"Current Employee, more than 5 years",,5,4.0,5.0,,5.0,5.0,5.0,v,o,v,Great working environment,"Flexibility, learning opportunities, coaching and counseling, growth",Overtimes may be needed to meet deadlines
744849,Serco-Group,2016-03-09, Anonymous Employee,"Current Employee, more than 1 year","Wentzville, MO",1,1.0,1.0,,1.0,1.0,1.0,x,o,r,Eligibility worker,No pros. Decent pay,No room to move up the ladder. Never get a raise. No organization.
75213,BT,2017-12-30, Anonymous Employee,"Current Employee, more than 1 year",,4,5.0,5.0,,2.0,5.0,4.0,v,o,o,worked here for alomost 2 years,awesome place to work with higher experience,no proper tecnical work (not in all team)
697567,PwC,2021-02-10, Anonymous Employee,"Former Employee, more than 1 year","Tampa, FL",3,3.0,5.0,4.0,2.0,4.0,3.0,x,v,v,OK overall but could be much better,"- Tim Ryan 
- Work from home
- Learning resources/upskilling opportunities
- Benefits
- You'll work with smart, ambitious people","- Limited, slow career growth
- No clear career path
- Lack of transparency within departments
- Lots of positions moving offshore
- HR doesn't do enough to retain talent"
455900,KPMG,2018-02-06, Assistant Manager,"Current Employee, less than 1 year","London, England, England",4,5.0,5.0,,4.0,3.0,4.0,v,r,v,Assistant Manager,"Really nice atmosphere, live by their values.",Lots of transfers to other areas so flexible but not lots of promotion opportunities.
739624,Salesforce,2020-10-08, Technical Architect,"Current Employee, more than 5 years",,4,4.0,4.0,5.0,5.0,5.0,5.0,v,r,v,The leading workplace in CRM,"Supporting environment
Great opportunities internally to grow
Bright future","Growing too fast, making it harder to communicate or get info
Some roles can be demanding"
513852,McDonald-s,2016-04-21, Anonymous Employee,Former Employee,,5,2.0,3.0,,4.0,3.0,3.0,v,r,v,Great Place,"You are coming here for a good working environment, and that's what you get. You can make it enjoyable, and you should take advantage of the opportunities for growth.","I'm not really sure. I guess this job isn't for everybody. But it is a great corporation, and i have to write 20 words."
379227,IBM,2018-11-26, Senior SAP Basis Administrator,"Former Employee, more than 1 year",Wrocław,4,1.0,4.0,,3.0,1.0,3.0,x,r,r,Mmmm...,"Nice company, big clients to learn from.","At least, in Poland, they don't really believe the labor law exists. They overwork you till you basically drop dead. On the 7th month of employment, I already had done all the overtime legally allowed for the year... My work weeks were around 50 to 60 hours."
585381,Microsoft,2020-11-17, Software Engineer,Former Employee,,5,,,,,,,o,o,o,Decent,"Friendly workplace, motivating and pretty good atmosphere",Cannot really think of anything
256169,EY,2020-04-23, Junior Auditor,Former Employee,Jakarta,4,1.0,3.0,,5.0,4.0,3.0,v,r,r,A place to searching your career and growth,"Fee is above the others, the team relatively wants to teach",There's no work life balance
274828,GlaxoSmithKline,2018-10-30, Regulatory Compliance Associate,"Former Employee, more than 10 years","Memphis, TN",4,3.0,4.0,,4.0,4.0,4.0,v,v,r,Great Company,"Allowed me to work part time from home.
Great benefits.
Good salary.",Management sometimes doesn't take feedback well.
168451,David-Lloyd-Leisure,2018-08-21, Club Lounge Assistant,"Former Employee, more than 1 year","Cardiff, Wales, Wales",1,1.0,2.0,,2.0,4.0,1.0,x,x,r,Clubroom assistant,"Great staff , free membership for yourself and one other",Certain mangers aren't very nice towards the staff at all.
240085,EY,2015-11-03, Director,"Former Employee, more than 5 years",,3,1.0,4.0,,3.0,3.0,3.0,x,o,r,Gives quite a lot as an organisation but takes a lot more!,"Quite a friendly culture, Reasonably good generic training. Often has very good exposure to prestigious high profile transactions and companies.","Progression to next level is not always clear, quite arbitrary/changing criteria to get promoted, too much workload on many people with few checks on overworking. The pay and compensation below Partner level is not worth the hours in most cases eg 70-90 hours per week not atypical, for people who could easily earn 30-50% premium in industry or banking.

Specialist training in Industrial areas such as Financial Services, Energy is fairly poor and so often left to the individual to further knowledge.

There is too much push and not enough pull, what I mean by this, is that EY does not explain or articulate well to employees why they should stay and why they are better staying at EY, instead you have to explain why you are the best and they should want you.

Lacks entrepreneurial culture, they promote a risk adverse culture, this is somewhat understandable, however it limits their growth.

There are very few really exceptionally talented people stay here very long, so they don't have the talent one might find at a decent investment Bank.

US side of the firm generally employs quite varying standards of people, seems to be little uniformity in quality of US staff.

Some partners do not live by high ethical/moral standards.

Quite a lot of internal competition between different service lines.

Many global disputes on fees etc behind the scenes."
14204,American-Express,2011-09-05, Corporate Travel Consultant,Former Employee,,3,3.0,,,3.0,3.0,3.0,o,o,o,"Shareholders comes first, employees are not valued.",American Express travel is the nation's largest travel agency. There are countless opportunities to work at different locations. Benefits are ok.,Business unit managers may not have the educational experience needed to effectively lead and/or manage employees. The travel division is numbers driven.
595509,Morgan-Stanley,2018-03-23, Anonymous Employee,Current Employee,,3,3.0,4.0,,3.0,3.0,3.0,o,v,o,Vice President,"well organized infrastructure, very professional",Its very hectic and lot of pressure
647424,Oxford-University,2015-08-02, ,Former Employee,,4,5.0,5.0,,4.0,4.0,4.0,o,o,o,Postdoc,"Superb environment, interesting work, supportive staff",Delayed reimbursement of work travel costs
557458,McKinsey-and-Company,2020-12-02, Associate,Current Employee,"London, England, England",3,1.0,3.0,1.0,5.0,3.0,1.0,x,r,v,Terrible work life balance,Good learning opportunity and very smart people,Terrible work life balance and overbearing partners
184881,Deloitte,2016-10-10, ,Former Employee,,4,2.0,3.0,,5.0,2.0,4.0,o,o,o,Junior auditor,great teamwork experience; nice and helpful team members,often worked over regular work hours
303290,Grant-Thornton,2017-05-14, Tax Associate,"Current Employee, less than 1 year","Philadelphia, PA",4,,,,,,,o,o,o,Tax experienced associate,Good learning experience and worklife balance,everything is really good and amazing
371929,IBM,2017-10-30, Accounts Receivable,"Current Employee, more than 10 years","Raleigh, NC",1,1.0,2.0,,2.0,2.0,1.0,x,x,x,IBM AS WE KNEW IT IS GONE,The relationships you build over the years are the biggest take away and often prove helpful once you're laid off.,There are too many to list but  respect the individual is non existent.
626749,Oracle,2016-09-05, Professional Services Project Manager,"Current Employee, more than 1 year","San Mateo, CA",5,5.0,5.0,,3.0,5.0,3.0,v,o,o,Senior Project Manager,Great pay. Great culture.,Career growth is getting a bit hard now that we've grown so much. A bit nervous about the Oracle acquisition. Not sure what will happen to us.
300139,Google,2021-03-04, Software Engineer,Current Employee,,5,,,,,,,o,o,o,current,all great no cons whatsoever,none at all all great
371520,IBM,2017-10-11, Consultant,"Former Employee, more than 8 years","San Francisco, CA",4,4.0,4.0,,4.0,4.0,3.0,v,v,v,Review,Great company to work for years ago.  Has changed a lot,offshore hiring for onshore jobs
232254,EBRD,2017-02-15, Anonymous Employee,"Current Employee, more than 10 years","London, England, England",3,4.0,2.0,,2.0,3.0,1.0,x,r,r,"No transparency, too top heavy",Lots of lovely and interesting people.  Good quality of work.,Lovely people are all stuck in the middle. Organisation structure is an inverse pyramid.  Some teams think it's ok to appoint a senior position rather than having a competitive selection process.
158334,Compass-Group,2016-10-27, Business Unit Director,"Current Employee, more than 1 year",Barcelona,3,4.0,5.0,,3.0,4.0,3.0,o,o,o,Business Unit Director,Good Practice & competitive salaries,High staff turnover and short term focus
195623,Deloitte,2019-03-27, Assistant Manager,"Current Employee, more than 3 years","London, England, England",5,3.0,5.0,,5.0,2.0,3.0,v,v,v,Fab,the people and connections made,the hours and the pay are below average
741725,Sanctuary-Group,2018-01-31, Anonymous Employee,"Former Employee, more than 3 years","Worcester, England, England",2,2.0,2.0,,1.0,2.0,1.0,x,r,r,Progression for middle class and white,"35 hours working week, extra holiday per year",You only get progression if you are white and it comes even quicker if you are middle class. Throwing huge amounts of money at suppliers and contractors without investing in internal teams (even though publicly they say they do). Management disconnected to what is happening on the ground. Lack of diversity in management positions.
667308,Primark,2021-01-30, Senior Department Manager,"Current Employee, more than 5 years","Cheltenham, England, England",5,4.0,5.0,5.0,3.0,4.0,3.0,v,v,v,SDM review,Large volume turnover experience with small turnover environment,"Lack of movement can affect progression, promotions not always performance based, no additional compensation (bonuses etc) for high departmental performance if you are below Assistant manager level"
590398,Morgan-Stanley,2008-12-17, Associate,Current Employee,Tokyo,3,3.0,,,3.0,3.0,3.0,o,r,o,If you are looking for work-life balance this is the place.,The best thing about Morgan Stanley is the work-life balance and there's no micromanagement.  The manager is very lenient about the times you come in as a Technology associate as long as you get the work done.  You also get a company blackberry which has its own pros and cons.,Quite a lot of politics so you really have to kiss ass if you want to move up faster.  Generally the people are smart but to really get things done you need connections or people will move at a snail's pace.
288615,Google,2015-02-26, Anonymous Employee,"Current Employee, more than 5 years",,4,2.0,4.0,,4.0,5.0,4.0,v,o,r,Best company I've ever worked for,"Benefits, peers, mentors, smart people, great ideas, a constant challenge, fun, perks, remuneration package, environment.","super demanding, competitive, highly political, many roles could be seen as 'cog in a wheel' - hard to understand impact. work life balance."
705381,RWE-Supply-and-Trading,2020-06-21, Graduate Trainee,"Current Employee, more than 1 year","Essen, North Rhine-Westphalia, North Rhine-Westphalia",4,5.0,5.0,,4.0,4.0,4.0,v,o,o,It is very good,Good life-work balance. Good collagues and working envrionment,lack of flexibility in some aspects. The career path is good but not as fast as other trading shops
481111,LinkedIn,2020-08-09, Senior Account Director,Current Employee,Melbourne,4,4.0,3.0,,4.0,4.0,2.0,v,r,v,Good with room for improvement,"Microsoft group, benefits, career progression opps","Information chaos, subject to US Silicon Valley political crap"
606967,NHS,2021-03-23, Specialist Biomedical Scientist,"Current Employee, more than 10 years",,5,3.0,5.0,5.0,5.0,3.0,3.0,v,r,v,Always caring,"Everyone cares about the patients,","Some management very politically focused and money driven, without thinking of staff and patients"
639039,Oracle,2020-01-13, Anonymous Employee,"Current Employee, more than 10 years",Bangalore,4,5.0,5.0,,4.0,4.0,4.0,v,v,v,Good company,"Flexible timings, work from home option",No Cons for this company.
442497,Jaguar-Land-Rover,2021-01-12, Lead Engineer,Current Employee,"Royal Leamington Spa, England, England",5,4.0,4.0,5.0,4.0,3.0,4.0,v,o,r,Diverse and fast paced,"Big network
Learning opportunities
Variety of responsibilities","Competitive
Big company politics
Can be a lot of admin"
340854,Hyatt,2020-12-08, Executive Housekeeper,Current Employee,Mumbai,4,,,,,,,o,o,o,Great company to work,provides good opportunities for learning and growth,salary is much less than the other hotels
576939,Microsoft,2017-03-01, Senior Software Engineer,"Current Employee, more than 10 years","Redmond, WA",4,5.0,4.0,,4.0,4.0,4.0,v,v,v,They treat you well,"Plenty of different projects to work on, you should be able to find your niche. Good compensation, easy parking, short commute if you live on the eastside, on-site health clinic and tons of other amenities, membership to the Pro Club which is the best possible gym, a culture that cares about its employees and the betterment of society. You can use Windows and .NET for your development.","Located on the eastside which isn't great if you live in Seattle, potentially lots of bureaucracy, many floundering products, doesn't often feel like you're working at the forefront of the industry. IT has created so many hoops for authentication to internal sites/email/etc. it's a real PITA."
762301,Tesco,2020-04-22, Retail Sales Associate,Current Employee,"Bolton, England, England",5,5.0,5.0,,5.0,5.0,5.0,o,o,o,Good job,Good job nice employees nice uniform nice food,Okay food bad employees annoying managers
693486,PwC,2020-10-03, Senior Assistant,Former Employee,,5,4.0,5.0,5.0,5.0,4.0,5.0,o,o,o,Nice place to learn!,"Great environment, nice people, keep learning during work",Could have a better salary
700915,PwC,2021-05-04, Business Analyst,Current Employee,Melbourne,5,,,,,,,o,o,o,good consulting,good learning environment in Melbourne,work life balance is impacted
457547,KPMG,2018-10-02, Anonymous Employee,Current Employee,,5,4.0,5.0,,5.0,4.0,4.0,o,o,o,Sen. Associate,great people and place to work,can be stressful but manageable
430934,J-P-Morgan,2021-01-27, Anonymous Employee,Current Employee,,4,,,,,,,o,o,o,Associate,Good good good good good,No as of now nothing
688039,PwC,2019-06-26, Director,"Current Employee, more than 8 years","Cary, NC",3,1.0,4.0,,5.0,3.0,2.0,v,x,x,Good,People that work there are great,Work life balance is not great
277248,GlaxoSmithKline,2021-05-14, Account Manager,"Former Employee, more than 10 years","Research Triangle Park, NC",3,3.0,2.0,5.0,3.0,4.0,3.0,v,r,v,Not what it once was…,"Good salary. 
There is a Large pipeline in R&D and acquisitions.",The company was once nimble and valued creativity in decision making. It’s so large now that it is government-like in its bureaucracy.
615179,Oliver-Wyman,2021-05-14, Sales Agent,Current Employee,"New York, NY",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,great one,"very good, nice and experienced","none, none, none, none, none"
832136,Workday,2018-02-12, Anonymous Employee,Current Employee,,5,4.0,5.0,,4.0,4.0,3.0,v,v,v,Best place I've ever worked.,Great perks and benefits and hard work is acknowledged. Great benefits and comany perks.,Hiring seems to be ongoing even if the department isn't demanding it.
537745,McDonald-s,2020-10-04, Cashier,Former Employee,,3,,,,,,,o,o,o,Ok,Enjoyed the food and discounts,Hard work for the pay
59624,BDO,2017-04-03, Tax Manager,"Former Employee, more than 3 years",Melbourne,3,1.0,2.0,,3.0,2.0,2.0,o,o,o,High turnover,"Good calibre of staff, adequate training","long hours, no performance initatives"
763476,Tesco,2020-09-29, Customer Service,Former Employee,"Braintree, England, England",5,,,,,,,o,o,o,nice place for first time work,"good pay, nice people, extra pay on sunday","flexi shifts, short shifts, not enough over time"
85136,Barclays,2011-12-08, ,Current Employee,"New York, NY",4,4.0,,,3.0,4.0,4.0,v,v,o,Good place to work but some morale issues,"- Reasonable compensation.
- Access to a number of very smart people.
- Good benefits compared to competing firms.
- A very good balance between family life and work life.","- Morale is poor in some areas of the firm.
- At times, there is an in-congruence between internal news about our success and what we see externally."
719880,SAP,2017-11-28, Software Development Specialist,"Current Employee, more than 3 years","São Leopoldo, Rio Grande do Sul, Rio Grande do Sul",5,5.0,4.0,,5.0,5.0,5.0,v,v,v,Best workplace to work for,The way that the busines is conducted and people are treated at SAP provides a great place to work,Some people may get a lot of roles at one single time which leads overload of work
644489,Oracle,2021-02-20, Senior Principal Member of Technical Staff,"Current Employee, more than 5 years","New York, NY",4,2.0,3.0,3.0,4.0,1.0,2.0,x,r,r,Great work poor salary,Great Technology and platform opportunity,Employee views does not matter. 💯% decisions drived based on handful management people. No transparency at all.
637991,Oracle,2019-09-14, Member Of Technical Staff,"Current Employee, more than 1 year",Bangalore,3,4.0,4.0,,3.0,4.0,3.0,v,r,v,"Decent work, hard to get hikes","I worked in the cloud team. Work was good. Decent work life balance (doesn't apply across all teams though, specific to my team)",Little or no hike. They gave out RSUs instead. Some teams might not have decent work life balance from what I've observed.
137043,Citi,2012-06-24, Vice President,"Former Employee, more than 10 years",Singapore,3,1.0,3.0,,2.0,4.0,2.0,x,v,r,"Demanding work culture, a place you can learn","Lots of opportunities  to learn new things, 
a culture where the best is expected from you all the time 
interact with people across the world and work with some of the smartest minds","Demanding work - with no respect for personal time
a lot of politics and meritocracy is lost along the way 
sometimes a lot of talk and no action"
744050,Serco-Group,2012-08-16, Anonymous Employee,"Former Employee, more than 3 years",,4,4.0,4.0,,3.0,2.0,4.0,v,v,r,Former Business Developer,"Lots of smart, hardworking people who care about the customer.  The CEO, Ed Casey, is a smart, dedicated leader.  The company is very risk averse, which, again, is a ""Pro"" that keeps them out of trouble.","Micromanagement; it's hard to get a ""yes"" to do anything out of the box.  Low salary adjustments & bonuses, leading to above-average personnel turnover."
361129,IBM,2016-05-22, Managing Consultant,"Former Employee, more than 3 years","Toronto, ON",2,2.0,5.0,,2.0,3.0,2.0,x,x,x,GBS was not for me,"The company has lots of templates and tools, so it's a good place to learn how to become a consultant. Was good for the CV, but that's about it.","My manager did absolutely nothing to develop me. It was all about billable time. I didn't feel supported at all in my role by my direct manager or the administrator (who was in in Ottawa) who didn't do anything to make sure my laptop worked, etc. For projects I was never put on anything that was suitable. They would staff it with anyone who was available, even if I didn't have the skills for it or wasn't suited to it. I found this very stressful as the client was sold ""expertise"" I didn't have."
587251,Microsoft,2021-02-24, Operations Manager,Current Employee,,5,,,,,,,o,o,o,Great,Good company and people great,Non all good and super
541757,McDonald-s,2020-12-23, Crew Member,"Former Employee, more than 1 year","Manchester, England, England",3,4.0,2.0,3.0,3.0,3.0,1.0,x,r,r,Only good for a first job,"-Weekly Pay
-Efficient work timetable
-Can ask/give up shifts easily
-Online portal was easy to use
-Other crew members were nice and easy to become friends with
-Free meal on breaks
-All breaks 45 minutes","-A lot of work load for the pay
-Low pay for teenagers
-Managers sit in the office a lot of the time talking and don't help with work
-A lot of really rude customers
-Long shifts and sometimes managers force you to go on your break too early"
611501,New-Look,2018-07-09, ,Former Employee,,5,,,,5.0,,5.0,o,o,o,Amazing,Really good to work there,None at all it was amazing
743380,ScS-Sofas,2019-11-20, Head Office Staff,"Former Employee, more than 1 year","Sunderland, North East England, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,x,r,"If Donald Trump sold sofas, it would probably be a lot like this.",I suppose the roof at head office keeps the rain off your head?,"It's hard to thin down this list enough to get it all in the character limit here, but I'll see if I can give you a taste... 


The all-pervading culture of blame and self-interest makes for a truly poisonous atmosphere. 

Imagine a stereotypical old-school salesman and everything that is awful about them. Now imagine a company run entirely by people like that. I have never seen so many unnecessary BMW and Audi company cars in one place. 
A perfect case-study for the Dunning-Kruger effect, with whole teams of people employed to do jobs that are then over-ruled and shut down by the autocrats in upper management, who truly believe they know better than the specialists they've employed. 

The relentless pursuit of sales at the cost of everything else, combined with a total disregard for the customer at every level is quite astonishing. 
Dishonesty is the default setting. Quality, service and customer satisfaction are so far down the list as to be non-existent. 
The fact that they are deliberately targeting the lower end of the market with low-quality tat and unnecessary bolt-on insurance products sold on ridiculous commission is just another reason to leave with a foul taste in your mouth. 

The pricing structure is as much a work of art as it is pure evil, designed entirely to skirt the edges of the FCA guidelines as closely as possible without getting caught. That being said, the simplest of audits would expose some entirely unsavoury practices in this place...  

The treatment of suppliers and third-party agencies is no better than that of the customers. Staff are treated with total disdain also, all while stuck in ridiculous dress-codes at head office in poor working environments. 

The real, true shame is that the actual staff are by and large great people that know what they are doing - if only they were allowed to get on and do it. 

Ultimately though, the top knobs have made themselves very rich by carrying on like this, so they have no compulsion to change anything at all. Stack 'em high, sell 'em cheap and treat everyone like idiots. I'm embarrassed to have this place on my CV."
69681,BNY-Mellon,2019-02-22, Anonymous Employee,Current Employee,,1,3.0,1.0,,1.0,1.0,1.0,x,x,r,BNY Mellon not a good place to work anymore,"nice infrastructure, my colleagues great","too much of pressure ,biased ratings, firing going on"
126114,CBRE,2019-08-27, Project Manager,"Current Employee, less than 1 year","San Jose, CA",2,2.0,1.0,,3.0,2.0,1.0,x,o,r,What a pain in the       this company is,"it's a job, a job it is","benefits and not that good for a corporation of this size, micro management, am a contract worker meaning, CBRE is managing facilities for a manufacturer, so I am not working for the company I work at - it causes a lot of grey areas"
783157,Thomson-Reuters,2020-09-03, Talent Sourcing Specialist,"Current Employee, less than 1 year","Eagan, MN",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Awesome company with a great culture!,"Team Oriented, Positive Work Environment, Great Management, Pay, Benefits, Career Progression, Great Brand Recognition and Company Reputation",I can't think of any!
183881,Deloitte,2016-07-14, Consultant,"Current Employee, more than 3 years","Arlington, VA",3,2.0,4.0,,4.0,5.0,4.0,v,v,v,A good place if you have time to give,"1. Training has taken a major priority in the consulting branch. Everyone is required to get 10 hours. Along with that people are allowed to go to Deloitte University to go learn new skills. 
2. You have the ability to move from project to project and are literally in charge of your career. 
3. The pay is above average and unless you get a bad performance review you are given a raise and a bonus. 
4. A lot of federal clients so exciting work. 
5. Managers are solid and trained. Most of the managers are reasonable and understand life issues and know how to be people person","1. The way performance reviews are completed need to be changed. A big issue is the new RPM (rating) they actually hide the information your managers get. You do have daily check ins but the information is not available for year end. You also are not allowed to call into the your year end performance call. 
2 You have to work a lot to get better ratings. The more you work and the more people that know you the better you will be. 
3. Burnout rate is high. 
4. A highly competitive environment which causes a lot of backstabbing to protect people."
179661,Deloitte,2015-07-07, Consulting Manager,"Current Employee, more than 3 years","Boston, MA",4,3.0,4.0,,4.0,5.0,4.0,v,r,v,Great career track with heavy workload,"Many opportunities for personal and career development. The firm values individuals, their opinions, and their work efforts. Great pay and benefits. An abundance of learning opportunities allows new graduates the ability to take their careers in many directions.",Forced ranking during yearly reviews gives demerits to otherwise qualified employees. Heavy emphasis on utilization targets that can't be met if all vacation days are taken. Workload beyond 45 client hours per week completing firm development activities. The need for networking to get on assignments means that only the portion of Deloitte that you know (or that know you) is available for your career growth.
323142,Harrods,2020-03-04, Sales Associate,Former Employee,,5,,,,,,,o,o,o,Harrods,"Benefits, good pay lots of fun",High maintenance w e rqw
499187,Marriott-International,2020-10-28, Front Desk Manager,"Former Employee, more than 3 years","Chicago, IL",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,FDM,Work environment is very great,COVID is not very great
722299,SAP,2019-03-05, Anonymous Employee,Current Employee,,3,4.0,2.0,,3.0,4.0,1.0,o,r,o,SAP - Good and Bad,"Good benefits, flexible working hours,  options for continuous training and lateral movement","You are a number.  Even as a top performer, if yo don't work in one of the large office locations, your job is subject to the whims of Walldorf."
245007,EY,2017-05-15, Anonymous Employee,Former Employee,,3,2.0,3.0,,3.0,4.0,1.0,o,o,o,Consultant,Opportunity to specialise and  learn end to end about your domain,"No flexibility, and no work-life balance"
727008,SAP,2021-01-12, Sales Manager,Current Employee,"München, Bavaria, Bavaria",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company to work for!,Great teamwork and strong move to Cloud solutions,No cons in my area of work.
813694,Vodafone,2016-09-09, ,Former Employee,,4,4.0,4.0,,3.0,4.0,5.0,v,v,r,Great learning position,Good for first years out of college,"Low career progression, it can easily lock you in a position"
715557,SAP,2013-07-18, Anonymous Employee,"Current Employee, more than 8 years",,4,4.0,3.0,,4.0,5.0,2.0,v,v,v,Good company with excellent benefits and compensation,"Stable company, lots of opportunity","lack of empowerment, too many silos, difficult to move beyond VP"
444950,John-Lewis-and-Partners,2021-01-30, Finance Manager,Current Employee,"London, England, England",5,,,,,,,o,o,o,Ok,Nice team nice employees and good culture,None to speak of at the moment
494581,Marriott-International,2017-02-14, Anonymous Employee,Current Employee,,3,,5.0,,4.0,3.0,2.0,v,v,v,Group and Catering Sales Leader,Great company culture and career advancement.,Not a great company for work life balance
443765,John-Lewis-and-Partners,2018-09-17, Anonymous Employee,Current Employee,,4,4.0,5.0,,4.0,3.0,3.0,v,r,r,Communication Manager,Great working environment and friendly people,A lot of change happening
766021,Tesco,2021-03-06, Customer Service,Current Employee,"London, England, England",4,,,,,,,o,o,o,great job,generous benefits and motivated team,high demand and not enough hours
288618,Google,2015-02-28, Developer,Current Employee,"Toronto, ON",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,good company,"Nice city, arround the lake, everyone's super nice",Not much to say about it
268431,FARFETCH,2014-12-18, ,Current Employee,,1,2.0,2.0,,2.0,1.0,2.0,x,v,r,Customer representative,"Low salary, compensation, no motivation to move on, without good system and equipment","good people to work with, nice environment"
